OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
05000049003,1,V grism,image,1,2021-10-01T00:43:21,2021-10-01T00:43:51,2021-10-01T00:43:36.000,30.0357641727259,955,74.4382661623549,31.8891424925967,80.0248831923395,NONE,False,False,False,547.5820229055519,1536.4769005148812,74.4399,31.88945,5.48721504397746,5.917728100776,110.8193
05000050001,1,V,image,1,2021-10-02T06:48:43,2021-10-02T06:49:47,2021-10-02T06:49:15.000,62.7753404672587,600,74.3552116557503,31.9453406347757,78.8681344818471,DIRECT,False,False,False,411.40937231301285,507.37994443817996,74.44248,31.91405,5.46934615587038,5.918085502805,112.0266
05000050001,1,V,image,2,2021-10-02T06:49:49,2021-10-02T06:49:55,2021-10-02T06:49:52.000,6.14614945059792,600,74.3552116557503,31.9453406347757,78.8681344818471,DIRECT,False,False,False,403.50284952289206,504.6814362947705,74.44247,31.91406,5.46933850543539,5.918085624909,112.0271
05000050002,1,UVW1,image,1,2021-10-02T06:50:19,2021-10-02T06:54:56,2021-10-02T06:52:37.500,272.222028622238,1200,74.4455756048736,31.9127383393835,79.0387337826665,DIRECT,False,False,False,681.1348371653518,624.4567484447324,74.44241,31.91412,5.46930480296768,5.918086171079,112.0293
05000050003,1,V grism,image,1,2021-10-02T06:55:19,2021-10-02T07:12:15,2021-10-02T07:03:47.000,999.758159922751,955,74.440805392303,31.9133884817181,78.9843463321032,NONE,False,False,False,544.7083945454589,1543.6812280641643,74.44205,31.91435,5.46918031997086,5.918088380493,112.0386
05000050003,2,UVW1,image,1,2021-10-02T07:12:21,2021-10-02T07:13:55,2021-10-02T07:13:08.000,92.8002387902642,1200,74.440805392303,31.9133884817181,78.9843463321032,DIRECT,False,False,False,670.2316566128845,622.9943056336276,74.44171,31.9145,5.46909383426653,5.918090231825,112.0463
05000051001,1,V,image,1,2021-10-02T08:23:29,2021-10-02T08:23:39,2021-10-02T08:23:34.000,9.61013986831999,600,74.4013892557567,31.8448486033541,78.9583217262519,DIRECT,False,False,False,555.472634420003,867.1740259552388,74.44247,31.91531,5.46841937648228,5.918104178113,112.0898
05000051001,1,V,image,2,2021-10-02T08:23:42,2021-10-02T08:24:56,2021-10-02T08:24:19.000,72.0380085067388,600,74.4013892557567,31.8448486033541,78.9583217262519,DIRECT,False,False,False,547.8158344961171,870.9707653303763,74.44246,31.91532,5.46840999356974,5.918104326624,112.0904
05000051002,1,UVW1,image,1,2021-10-02T08:25:19,2021-10-02T08:29:56,2021-10-02T08:27:37.500,272.232874643338,1200,74.4452572959097,31.9222884232762,79.0241446281595,DIRECT,False,False,False,680.2275107115757,596.2801185931745,74.44239,31.9154,5.46836928129808,5.918104981721,112.093
05000051003,1,V grism,image,1,2021-10-02T08:30:19,2021-10-02T08:47:15,2021-10-02T08:38:47.000,999.747176039937,955,74.4406972800466,31.9133321584282,78.9899397058867,NONE,False,False,False,543.1731151457349,1553.2718843400914,74.44204,31.91563,5.46824381066046,5.918107191217,112.1022
